"","suminc_before_application","default_option","quarter_ofyear","children","years_education","totweeksbenefits26","totincome26","age","benefits_wk13","location","female","partner","totweekswage26","benefits_wk26","searchperiod"
"1172",25.895157,"never",2,0,6,26,4032.5623,58,1,"Centrum/Oost",0,0,26,1,0
"1173",23.144478,"never",2,0,6,0,6128.6235,57,0,"Centrum/Oost",0,0,26,0,0
"1174",6.1205225,"never",1,0,11.5,26,5587.8677,33,1,"Centrum/Oost",1,0,0,1,0
"1175",5.775773,"normal",1,1,6,0,0,43,0,"Centrum/Oost",0,1,0,0,0
"1176",34.569839,"never",1,0,15,26,5951.2231,35,1,"Centrum/Oost",0,0,0,1,0
"1177",43.066128,"never",3,1,13,23,6887.2905,35,1,"Centrum/Oost",1,0,0,1,1
"1178",60.543938,"normal",2,0,15,0,13755.781,34,0,"Centrum/Oost",1,0,26,0,1
"1179",46.275486,"normal",1,0,11.5,6,7848.1753,41,0,"Centrum/Oost",1,0,0,0,0
"1180",3.6146894,"normal",4,0,13,0,0,28,0,"Centrum/Oost",1,0,0,0,0
"1181",52.866386,"normal",2,0,16.5,0,0,28,0,"Centrum/Oost",1,0,0,0,0
"1182",31.816765,"normal",4,0,11.5,26,5572.7915,46,1,"Centrum/Oost",0,0,0,1,1
"1183",78.92131,"never",2,0,15,18,9027.7686,35,1,"Centrum/Oost",0,0,0,1,0
"1184",34.989334,"normal",1,0,10,26,5048.6426,47,1,"Centrum/Oost",0,0,0,1,0
"1185",22.264433,"never",2,0,16.5,26,5442.0444,60,1,"Centrum/Oost",0,0,0,1,0
"1186",33.588394,"never",2,0,15,24,5948.9673,45,1,"Centrum/Oost",1,0,0,1,0
"1187",1.96086997,"normal",3,0,NA,2,20002.803,30,0,"Centrum/Oost",0,0,24,0,0
"1188",22.493542,"never",2,0,16.5,18,3770.1772,37,1,"Centrum/Oost",0,0,0,0,0
"1189",78.688278,"normal",4,1,11.5,9,11826.012,42,0,"Centrum/Oost",1,0,18,0,0
"1190",0,"never",2,0,6,26,4359.6846,56,1,"Centrum/Oost",0,0,0,1,0
"1191",58.420998,"never",1,0,16.5,26,9063.9443,50,1,"Centrum/Oost",1,0,0,1,0
"1192",8.9970236,"normal",1,0,10,19,3555.9265,55,1,"Centrum/Oost",1,0,0,0,0
"1193",1,"normal",4,0,13,4,13031.626,28,0,"Centrum/Oost",0,0,23,0,0
