state,time,accident,year,pop,rgastax,permale,unemp,txmsban,treated
8,10,48,2007,4939456,.0019336065,.50316101,3.9000001,0,1
8,11,32,2007,4939456,.0019221895,.50316101,4,0,1
8,12,32,2007,4939456,.0019234798,.50316101,4,0,1
8,13,30,2008,4861515,.0019139663,.50350571,4.0999999,0,1
8,14,31,2008,4861515,.0019084241,.50350571,4.0999999,0,1
8,15,31,2008,4861515,.0018920236,.50350571,4.1999998,0,1
8,16,34,2008,4861515,.001880618,.50350571,4.3000002,0,1
8,17,47,2008,4861515,.0018649139,.50350571,4.5,0,1
8,18,43,2008,4861515,.0018463086,.50350571,4.5999999,0,1
8,19,50,2008,4861515,.0018366642,.50350571,4.8000002,0,1
8,20,54,2008,4861515,.0018440248,.50350571,4.9000001,0,1
8,21,41,2008,4861515,.0018465786,.50350571,5.0999999,0,1
8,22,41,2008,4861515,.0018654219,.50350571,5.4000001,0,1
8,23,37,2008,4861515,.0019018478,.50350571,5.8000002,0,1
8,24,34,2008,4861515,.0019217231,.50350571,6.3000002,0,1
8,25,38,2009,5024748,.0019133952,.50372374,6.8000002,0,1
8,26,25,2009,5024748,.0019039272,.50372374,7.4000001,0,1
8,27,35,2009,5024748,.0018993085,.50372374,7.9000001,0,1
8,28,25,2009,5024748,.0018945789,.50372374,8.3000002,0,1
8,29,45,2009,5024748,.0018891217,.50372374,8.6000004,0,1
8,30,35,2009,5024748,.0018730327,.50372374,8.6999998,0,1
8,31,44,2009,5024748,.0018760072,.50372374,8.6000004,0,1
8,32,40,2009,5024748,.001871809,.50372374,8.6000004,0,1
8,33,41,2009,5024748,.0018706389,.50372374,8.5,0,1
8,34,46,2009,5024748,.001868839,.50372374,8.5,0,1
8,35,33,2009,5024748,.0018675172,.50372374,8.6000004,0,1
8,36,30,2009,5024748,.0018708121,.50372374,8.6999998,1,1
8,37,15,2010,5049071,.0018644405,.50099999,8.8999996,1,1
8,38,19,2010,5049071,.001863976,.50099999,9,1,1
8,39,25,2010,5049071,.0018563533,.50099999,9,1,1
8,40,33,2010,5049071,.0018531346,.50099999,9,1,1
8,41,33,2010,5049071,.0018516992,.50099999,8.8999996,1,1
8,42,46,2010,5049071,.0018535086,.50099999,8.8000002,1,1
8,43,37,2010,5049071,.0018531176,.50099999,8.8000002,1,1
8,44,41,2010,5049071,.0018505626,.50099999,8.8000002,1,1
